+----------------+---------------------+------+----------------------------------------------------------------+-----------------------+-----------------------+
| unix_timestamp | timestamp           | name | filename                                                       | image_shift_x         | image_shift_y         |
|     1571424338 | 2019-10-18 11:45:38 | en   | 19oct18b_AC41_4_00007gr_00002sq_v03_00003hl_2_v01_00002en      |  -2.6187309488256e-06 |  4.36266746580478e-07 |
|     1571424428 | 2019-10-18 11:47:08 | en   | 19oct18b_AC41_4_00007gr_00002sq_v03_00003hl_2_v01_00003en      | -2.23293613737352e-06 | -5.35732222561612e-07 |
|     1571424521 | 2019-10-18 11:48:41 | en   | 19oct18b_AC41_4_00007gr_00002sq_v03_00003hl_2_v01_00004en      |  6.66807743413345e-07 | -2.39909519626561e-06 |
|     1571424608 | 2019-10-18 11:50:08 | en   | 19oct18b_AC41_4_00007gr_00002sq_v03_00003hl_2_v01_00005en      |  1.81959066091797e-06 |  -2.0453102274879e-06 |
|     1571424697 | 2019-10-18 11:51:37 | en   | 19oct18b_AC41_4_00007gr_00002sq_v03_00003hl_2_v01_00006en      |  3.41796490697358e-06 |  9.55811418459332e-07 |
|     1571424784 | 2019-10-18 11:53:04 | en   | 19oct18b_AC41_4_00007gr_00002sq_v03_00003hl_2_v01_00007en      |  3.10695794767738e-06 |  1.87644358487685e-06 |
|     1571424873 | 2019-10-18 11:54:33 | en   | 19oct18b_AC41_4_00007gr_00002sq_v03_00003hl_2_v01_00008en      | -5.09495000052176e-07 |  3.05071286732997e-06 |
|     1571425027 | 2019-10-18 11:57:07 | en   | 19oct18b_AC41_4_00007gr_00002sq_v04_00004hl_2_v01_00002en      |  8.47983638245686e-07 | -2.38557125500905e-06 |
|     1571425115 | 2019-10-18 11:58:35 | en   | 19oct18b_AC41_4_00007gr_00002sq_v04_00004hl_2_v01_00003en      |  1.93836606206754e-06 | -2.20073586459602e-06 |
|     1571425204 | 2019-10-18 12:00:04 | en   | 19oct18b_AC41_4_00007gr_00002sq_v04_00004hl_2_v01_00004en      |  3.73912766062918e-06 |  3.34717226374473e-07 |
|     1571425294 | 2019-10-18 12:01:34 | en   | 19oct18b_AC41_4_00007gr_00002sq_v04_00004hl_2_v01_00005en      |  3.52375303536648e-06 |  1.30153649739147e-06 |
|     1571425385 | 2019-10-18 12:03:05 | en   | 19oct18b_AC41_4_00007gr_00002sq_v04_00004hl_2_v01_00006en      |  4.84489258089823e-07 |   3.3949711258784e-06 |
|     1571425475 | 2019-10-18 12:04:35 | en   | 19oct18b_AC41_4_00007gr_00002sq_v04_00004hl_2_v01_00007en      | -4.78027761481681e-07 |  3.04325827042819e-06 |
|     1571425562 | 2019-10-18 12:06:02 | en   | 19oct18b_AC41_4_00007gr_00002sq_v04_00004hl_2_v01_00008en      |  -2.3495140251805e-06 |  1.44697456287198e-07 |
|     1571425648 | 2019-10-18 12:07:28 | en   | 19oct18b_AC41_4_00007gr_00002sq_v04_00004hl_2_v01_00009en      | -2.06654399713235e-06 | -8.53632522781226e-07 |
|     1571425815 | 2019-10-18 12:10:15 | en   | 19oct18b_AC41_4_00021gr_00003sq_v02_00002hl_2_v01_00002en      | -2.00975834787731e-06 |  1.26664870371575e-06 |
|     1571425902 | 2019-10-18 12:11:42 | en   | 19oct18b_AC41_4_00021gr_00003sq_v02_00002hl_2_v01_00003en      | -2.00203082969022e-06 |  6.65632211031379e-08 |
|     1571425989 | 2019-10-18 12:13:09 | en   | 19oct18b_AC41_4_00021gr_00003sq_v02_00002hl_2_v01_00004en      |  9.91480796812487e-07 | -1.80750469613684e-06 |
|     1571426077 | 2019-10-18 12:14:37 | en   | 19oct18b_AC41_4_00021gr_00003sq_v02_00002hl_2_v01_00005en      |  3.74856573570908e-06 |   1.1898194408285e-06 |
|     1571426164 | 2019-10-18 12:16:04 | en   | 19oct18b_AC41_4_00021gr_00003sq_v02_00002hl_2_v01_00006en      |  3.75848859158095e-06 |  1.19344534655479e-06 |
|     1571426251 | 2019-10-18 12:17:31 | en   | 19oct18b_AC41_4_00021gr_00003sq_v02_00002hl_2_v01_00007en      |  3.56482426637964e-06 |  2.22440847715983e-06 |
|     1571426344 | 2019-10-18 12:19:04 | en   | 19oct18b_AC41_4_00021gr_00003sq_v02_00002hl_2_v01_00008en      |  1.85203885116385e-06 | -1.51553289834898e-06 |
|     1571426431 | 2019-10-18 12:20:31 | en   | 19oct18b_AC41_4_00021gr_00003sq_v02_00002hl_2_v01_00009en      | -2.04667658396775e-07 |  3.63505155600616e-06 |
|     1571426524 | 2019-10-18 12:22:04 | en   | 19oct18b_AC41_4_00021gr_00003sq_v02_00002hl_2_v01_00010en      |   6.7300570119689e-07 |  3.91079316484716e-06 |
|     1571432041 | 2019-10-18 13:54:01 | en   | 19oct18b_AC41_3_00023gr_00001sq_v02_00002hl_2_v01_00002en      |  1.48420281528916e-06 | -2.13197033941859e-06 |
|     1571432132 | 2019-10-18 13:55:32 | en   | 19oct18b_AC41_3_00023gr_00001sq_v02_00002hl_2_v01_00003en      | -2.17420826111209e-06 |  2.74844803540867e-07 |
|     1571432233 | 2019-10-18 13:57:13 | en   | 19oct18b_AC41_3_00023gr_00001sq_v02_00002hl_2_v01_00004en      |  3.71850565532832e-06 |  1.06779922527524e-06 |
